,Российская Федерация,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,город Москва,Республика Карелия,Республика Коми,Ненецкий автономный округ (Архангельская область),Архангельская область (кроме Ненецкого автономного округа),Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,город Санкт-Петербург,Республика Адыгея (Адыгея),Республика Калмыкия,Республика Крым,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,город Севастополь,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия-Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан (Татарстан),Удмуртская Республика,Чувашская Республика - Чувашия,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (без автономных округов),Челябинская область,Республика Алтай,Республика Тыва,Республика Хакасия,Алтайский край,Красноярский край,Иркутская область,Кемеровская область - Кузбасс,Новосибирская область,Омская область,Томская область,Республика Бурятия,Республика Саха (Якутия),Забайкальский край,Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
2015,30254.1,28043.0,23428.0,22712.0,29366.0,22297.0,27434.0,21939.0,25330.0,27087.0,38463.0,22104.0,23690.0,23653.0,24865.0,23672.0,25460.0,26613.0,60535.0,25859.0,31221.0,72146.0,29716.0,24991.0,25510.0,25541.0,36747.0,25631.0,21524.0,37428.0,23028.0,15276.0,15664.0,31304.0,23832.0,22103.0,25825.0,17774.0,26764.0,15191.0,18976.0,17810.0,21804.0,22709.0,21244.0,27320.0,18550.0,17588.0,32404.0,24255.0,18141.0,31606.0,21565.0,30003.0,22943.0,21453.0,27914.0,20111.0,22711.0,20310.0,34113.0,46221.0,67624.0,27448.0,24654.0,17872.0,15572.0,19116.0,20860.0,27053.0,21753.0,21879.0,25541.0,25283.0,26827.0,23858.0,37013.0,22014.0,42818.0,31072.0,35460.0,28240.0,50750.0,47872.0,23759.0,63308.0
2016,30865.0,29799.0,24006.0,22365.0,29284.0,23676.0,28800.0,23174.0,25355.0,27934.0,41276.0,23006.0,23799.0,23614.0,25769.0,24063.0,26815.0,26768.0,62004.0,26247.0,31725.0,71350.0,29837.0,26602.0,25663.0,28524.0,37359.0,25285.0,22032.0,39853.0,25081.0,15696.0,17825.0,32857.0,22841.0,21419.0,26655.0,26239.0,25669.0,15739.0,19767.0,17638.0,22220.0,22859.0,20985.0,27849.0,18859.0,17832.0,32763.0,23621.0,17646.0,27749.0,21317.0,30057.0,22145.0,20628.0,26956.0,19804.0,22617.0,20175.0,34718.0,46934.0,72358.0,27044.0,23657.0,17933.0,14963.0,19625.0,21256.0,27885.0,22510.0,21345.0,26783.0,24713.0,26165.0,23723.0,38863.0,22080.0,43849.0,31265.0,36565.0,27976.0,51367.0,49468.0,23069.0,67706.0
2017,31897.0,30342.0,25107.0,23554.0,29498.0,24860.0,28715.0,24093.0,26112.0,28956.0,42345.0,23979.0,24272.0,24766.0,26058.0,24353.0,27226.0,27200.0,65471.0,27473.0,32310.0,73013.0,30707.0,25920.0,26463.0,29668.0,39273.0,25757.0,23285.0,42338.0,26478.0,16261.0,19818.0,33403.0,22884.0,22037.0,27741.0,28130.0,26483.0,15801.0,20439.0,17932.0,22702.0,22484.0,22485.0,28468.0,19331.0,18255.0,32436.0,23995.0,17952.0,28340.0,21795.0,30326.0,22910.0,21364.0,27094.0,20244.0,23284.0,20660.0,35210.0,48834.0,76027.0,27672.0,23719.0,18584.0,15011.0,20251.0,22139.0,28819.0,23507.0,22141.0,27698.0,24707.0,26697.0,23860.0,40554.0,22714.0,45320.0,32269.0,37098.0,29213.0,54849.0,50502.0,23679.0,73019.0
2018,33266.0,30778.0,26585.0,23539.0,30289.0,24503.0,29129.0,23716.0,27275.0,30010.0,44707.0,24895.0,25441.0,25888.0,26828.0,25125.0,27208.0,27055.0,69393.0,29150.0,34074.0,78549.0,32054.0,26982.0,27461.0,31341.0,41564.0,25292.0,23880.0,44999.0,27553.0,17082.0,21524.0,34372.0,23670.0,22813.0,29095.0,28834.0,25755.0,16163.0,20805.0,18051.0,23317.0,23197.0,23408.0,28967.0,19802.0,18651.0,33725.0,23827.0,18462.0,28708.0,22247.0,31408.0,23385.0,21804.0,28180.0,21423.0,22797.0,20334.0,36735.0,50717.0,79398.0,29162.0,24386.0,19503.0,15609.0,21571.0,22829.0,30015.0,24434.0,23166.0,28852.0,25431.0,27296.0,24081.0,42843.0,23992.0,48758.0,34619.0,39084.0,30937.0,59774.0,53783.0,24696.0,78812.0
2019,35338.0,32352.0,28371.0,25358.0,32022.0,25794.0,31394.0,25285.0,29149.0,32479.0,47201.0,26064.0,26886.0,27388.0,28154.0,27211.0,28557.0,28658.0,75084.0,30854.0,35356.0,81041.0,33874.0,28334.0,28952.0,32306.0,44237.0,26003.0,25524.0,47169.0,29115.0,18508.0,22364.0,35673.0,24971.0,24158.0,30752.0,30261.0,27408.0,16614.0,21474.0,18821.0,24495.0,24138.0,24366.0,30567.0,20864.0,19748.0,35707.0,25066.0,20162.0,30588.0,23604.0,33817.0,24483.0,22969.0,29421.0,22757.0,23698.0,21304.0,39094.0,53208.0,83088.0,30662.0,25425.0,20256.0,16618.0,22689.0,23937.0,31739.0,26306.0,24886.0,30559.0,26967.0,28381.0,25268.0,45458.0,25750.0,52674.0,36883.0,41459.0,33304.0,65357.0,59015.0,26602.0,83385.0
2020,36073.0,32841.0,28596.0,25922.0,32078.0,26277.0,32442.0,25780.0,29786.0,32226.0,47046.0,26843.0,27312.0,28152.0,27889.0,27681.0,29385.0,29514.0,77283.0,32583.0,36677.0,84147.0,34852.0,29522.0,29518.0,33149.0,46355.0,26268.0,26436.0,49207.0,30293.0,19811.0,22950.0,36838.0,25199.0,24864.0,31427.0,29957.0,27661.0,16877.0,21957.0,18949.0,23927.0,24596.0,23911.0,30249.0,21264.0,20631.0,35635.0,25449.0,21155.0,30215.0,24192.0,33645.0,24719.0,24118.0,29893.0,24046.0,24590.0,21860.0,37374.0,54443.0,89928.0,31151.0,26628.0,21677.0,18972.0,23837.0,23864.0,32832.0,27571.0,25433.0,31563.0,27354.0,28857.0,26092.0,46338.0,27046.0,55373.0,37304.0,41740.0,35499.0,70864.0,60770.0,28048.0,89541.0
