,Российская Федерация,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,город Москва,Республика Карелия,Республика Коми,Ненецкий автономный округ (Архангельская область),Архангельская область (кроме Ненецкого автономного округа),Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,город Санкт-Петербург,Республика Адыгея (Адыгея),Республика Калмыкия,Республика Крым,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,город Севастополь,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия-Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан (Татарстан),Удмуртская Республика,Чувашская Республика - Чувашия,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (без автономных округов),Челябинская область,Республика Алтай,Республика Тыва,Республика Хакасия,Алтайский край,Красноярский край,Иркутская область,Кемеровская область - Кузбасс,Новосибирская область,Омская область,Томская область,Республика Бурятия,Республика Саха (Якутия),Забайкальский край,Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
2015,34030.0,25456.0,21679.0,23877.0,24906.0,21161.0,29939.0,21796.0,23921.0,24524.0,40643.0,21772.0,25482.0,23470.0,21725.0,24804.0,27555.0,26748.0,64310.0,30704.0,41365.0,71230.0,35592.0,27445.0,28262.0,33996.0,45989.0,26346.0,21553.0,44187.0,22087.0,20109.0,22440.0,26767.0,25499.0,24361.0,25008.0,21848.0,19239.0,21481.0,20866.0,20511.0,21267.0,22304.0,23245.0,25928.0,21947.0,22029.0,29147.0,24694.0,21369.0,28528.0,22118.0,26481.0,24591.0,23192.0,26849.0,22528.0,22846.0,22064.0,30691.0,60068.0,77272.0,35869.0,29642.0,22903.0,28322.0,29935.0,20090.0,36071.0,32704.0,28263.0,28046.0,27234.0,34041.0,28386.0,54631.0,30931.0,57404.0,33807.0,38041.0,32902.0,65996.0,61311.0,30896.0,79531.0
2016,36709.0,27091.0,22923.0,25135.0,26335.0,22144.0,31667.0,22989.0,25327.0,26214.0,42656.0,23127.0,27261.0,25097.0,22795.0,26193.0,29402.0,28520.0,71379.0,33061.0,43662.0,71850.0,38118.0,29303.0,29451.0,36319.0,48986.0,27914.0,22399.0,48703.0,23109.0,21318.0,24140.0,28734.0,27493.0,26554.0,26689.0,24259.0,20629.0,22488.0,21532.0,21546.0,22806.0,22926.0,24655.0,28108.0,23305.0,23229.0,30224.0,26693.0,22908.0,30651.0,23404.0,28399.0,26209.0,25337.0,28295.0,23548.0,24334.0,23335.0,32348.0,63568.0,83238.0,37536.0,30941.0,25083.0,29828.0,32515.0,21202.0,38474.0,35510.0,30115.0,30151.0,28163.0,36032.0,29969.0,59000.0,32654.0,61159.0,35677.0,40109.0,33837.0,69769.0,64959.0,32165.0,86647.0
2017,39167.0,29066.0,24743.0,26975.0,28007.0,23470.0,34332.0,24554.0,27274.0,28455.0,46836.0,24811.0,28819.0,26269.0,24253.0,27612.0,31637.0,30720.0,73812.0,34434.0,45689.0,74173.0,40352.0,31651.0,30580.0,39333.0,51932.0,29311.0,23659.0,53740.0,24490.0,22919.0,26165.0,30343.0,29599.0,27962.0,28500.0,27687.0,21941.0,22750.0,22782.0,22638.0,24715.0,23249.0,26645.0,30358.0,25440.0,24327.0,32324.0,28995.0,24530.0,32952.0,25215.0,30387.0,27445.0,26238.0,30492.0,24738.0,26254.0,25433.0,34760.0,66719.0,89938.0,40473.0,32253.0,26316.0,31251.0,33978.0,22743.0,41117.0,38086.0,32648.0,32287.0,29751.0,37518.0,32237.0,62206.0,34848.0,65807.0,38045.0,42465.0,37368.0,75710.0,68496.0,34409.0,91995.0
2018,43724.0,31852.0,27251.0,30460.0,31207.0,25729.0,38197.0,27724.0,29937.0,31622.0,51938.0,27476.0,31916.0,29397.0,26660.0,31049.0,34662.0,33474.0,83801.0,39402.0,50413.0,82786.0,45427.0,35497.0,33385.0,43631.0,58045.0,31462.0,26871.0,60421.0,27469.0,26049.0,29640.0,33846.0,33630.0,30894.0,31448.0,31814.0,25155.0,25367.0,25776.0,25430.0,26958.0,26177.0,29065.0,33753.0,28143.0,26712.0,35172.0,31808.0,27036.0,35802.0,27932.0,32949.0,30371.0,28968.0,33754.0,26823.0,28353.0,28159.0,38052.0,70896.0,97204.0,44913.0,35219.0,30953.0,35779.0,37874.0,25519.0,45635.0,42647.0,38023.0,35686.0,32613.0,41901.0,36047.0,68871.0,40740.0,73896.0,42199.0,47153.0,42315.0,85631.0,77499.0,39242.0,98864.0
2019,47867.0,34615.0,29853.0,33076.0,33690.0,27553.0,41442.0,31421.0,32709.0,34312.0,55555.0,29683.0,34488.0,31269.0,28697.0,33524.0,38151.0,36016.0,94294.0,42964.0,53416.0,88027.0,49435.0,39116.0,35637.0,46387.0,63715.0,32174.0,29441.0,65872.0,30192.0,28617.0,32748.0,36133.0,36093.0,33371.0,33757.0,34621.0,26835.0,27410.0,27466.0,26955.0,28751.0,27757.0,31836.0,36465.0,30152.0,28826.0,37418.0,34052.0,29671.0,39210.0,30213.0,35212.0,32883.0,30765.0,36431.0,30717.0,30677.0,30632.0,41110.0,75087.0,101012.0,48613.0,37433.0,33387.0,39673.0,40548.0,27962.0,49932.0,46387.0,41770.0,39076.0,35368.0,45526.0,39115.0,73402.0,43896.0,80448.0,46867.0,50213.0,47234.0,94856.0,87418.0,42400.0,107107.0
2020,51344.0,37442.0,31946.0,35240.0,36317.0,29083.0,43994.0,32220.0,35805.0,36790.0,58066.0,31862.0,36459.0,33139.0,31063.0,36077.0,40889.0,37820.0,100070.0,46501.0,57156.0,92237.0,52779.0,42775.0,36647.0,48286.0,69135.0,34169.0,31496.0,68667.0,32161.0,32013.0,34181.0,38499.0,38885.0,35962.0,35622.0,36300.0,31342.0,29648.0,29899.0,29865.0,30479.0,29771.0,33877.0,38738.0,32278.0,31105.0,39761.0,36380.0,31844.0,41958.0,32692.0,37601.0,35075.0,32766.0,38748.0,33545.0,32504.0,33182.0,43256.0,79822.0,111216.0,51501.0,39349.0,36269.0,44104.0,43800.0,30072.0,54426.0,49885.0,43429.0,41534.0,37828.0,48730.0,41800.0,77178.0,47172.0,85623.0,50105.0,53113.0,52430.0,102843.0,92518.0,46237.0,120641.0
