,region,gravity,type,2016,2017,2018,2019,2020,2021
72,Республика Алтай,Всего,несовершеннолетними или при их соучастии,237,165,160,154,125,96
73,Республика Бурятия,Всего,несовершеннолетними или при их соучастии,892,816,931,660,646,593
74,Республика Тыва,Всего,несовершеннолетними или при их соучастии,236,303,350,355,258,203
75,Республика Хакасия,Всего,несовершеннолетними или при их соучастии,347,270,268,208,238,164
76,Томская область,Всего,несовершеннолетними или при их соучастии,680,547,489,455,397,210
77,Амурская область,Всего,несовершеннолетними или при их соучастии,782,709,552,506,431,311
78,Еврейская автономная область,Всего,несовершеннолетними или при их соучастии,103,97,90,68,66,97
79,Камчатский край,Всего,несовершеннолетними или при их соучастии,214,196,214,148,160,114
80,Магаданская область,Всего,несовершеннолетними или при их соучастии,101,127,74,79,59,92
81,Приморский край,Всего,несовершеннолетними или при их соучастии,1146,983,841,912,643,668
82,Республика Саха (Якутия),Всего,несовершеннолетними или при их соучастии,477,504,465,437,335,240
83,Сахалинская область,Всего,несовершеннолетними или при их соучастии,328,302,261,238,250,272
84,Хабаровский край,Всего,несовершеннолетними или при их соучастии,1165,877,774,631,586,477
85,Чукотский автономный округ,Всего,несовершеннолетними или при их соучастии,26,19,16,22,15,10
86,Российская Федерация,особо тяжких,несовершеннолетними или при их соучастии,1632,1863,1968,2103,2069,1841
87,Белгородская область,особо тяжких,несовершеннолетними или при их соучастии,5,7,8,8,13,13
88,Брянская область,особо тяжких,несовершеннолетними или при их соучастии,22,20,9,18,15,31
89,Владимирская область,особо тяжких,несовершеннолетними или при их соучастии,17,6,6,11,10,22
90,Воронежская область,особо тяжких,несовершеннолетними или при их соучастии,17,15,22,30,31,67
91,Ивановская область,особо тяжких,несовершеннолетними или при их соучастии,8,8,15,58,12,8
92,Калужская область,особо тяжких,несовершеннолетними или при их соучастии,7,21,47,64,44,33
93,Костромская область,особо тяжких,несовершеннолетними или при их соучастии,10,5,8,19,15,7
94,Курская область,особо тяжких,несовершеннолетними или при их соучастии,25,17,30,52,17,23
95,город Москва,особо тяжких,несовершеннолетними или при их соучастии,37,44,130,47,38,47
96,Московская область,особо тяжких,несовершеннолетними или при их соучастии,45,28,34,24,39,48
97,Липецкая область,особо тяжких,несовершеннолетними или при их соучастии,8,6,8,2,10,10
98,Орловская область,особо тяжких,несовершеннолетними или при их соучастии,6,9,8,5,5,2
99,Рязанская область,особо тяжких,несовершеннолетними или при их соучастии,7,5,6,5,6,10
100,Смоленская область,особо тяжких,несовершеннолетними или при их соучастии,5,13,12,32,13,20
101,Тамбовская область,особо тяжких,несовершеннолетними или при их соучастии,7,2,14,11,1,7
102,Тверская область,особо тяжких,несовершеннолетними или при их соучастии,17,14,7,15,29,14
103,Тульская область,особо тяжких,несовершеннолетними или при их соучастии,7,4,3,9,6,4
104,Ярославская область,особо тяжких,несовершеннолетними или при их соучастии,8,10,7,9,16,7
105,Архангельская область (кроме Ненецкого автономного округа),особо тяжких,несовершеннолетними или при их соучастии,23,10,11,20,40,44
106,Ненецкий автономный округ (Архангельская область),особо тяжких,несовершеннолетними или при их соучастии,0,2,0,1,1,2
107,город Санкт-Петербург,особо тяжких,несовершеннолетними или при их соучастии,51,60,47,57,37,49
108,Ленинградская область,особо тяжких,несовершеннолетними или при их соучастии,9,15,16,6,7,15
109,Вологодская область,особо тяжких,несовершеннолетними или при их соучастии,19,12,14,12,6,21
110,Калининградская область,особо тяжких,несовершеннолетними или при их соучастии,8,7,10,2,11,9
111,Мурманская область,особо тяжких,несовершеннолетними или при их соучастии,18,7,7,22,16,10
112,Новгородская область,особо тяжких,несовершеннолетними или при их соучастии,4,13,15,7,15,7
113,Псковская область,особо тяжких,несовершеннолетними или при их соучастии,4,4,5,44,8,1
114,Республика Карелия,особо тяжких,несовершеннолетними или при их соучастии,27,10,20,9,25,13
115,Республика Коми,особо тяжких,несовершеннолетними или при их соучастии,37,27,12,30,23,13
116,Кабардино-Балкарская Республика,особо тяжких,несовершеннолетними или при их соучастии,3,1,3,4,1,5
117,Карачаево-Черкесская Республика,особо тяжких,несовершеннолетними или при их соучастии,2,1,2,18,23,0
118,Республика Дагестан,особо тяжких,несовершеннолетними или при их соучастии,18,11,13,21,24,33
119,Республика Ингушетия,особо тяжких,несовершеннолетними или при их соучастии,0,0,0,2,1,0
120,Республика Северная Осетия-Алания,особо тяжких,несовершеннолетними или при их соучастии,3,7,3,2,3,4
121,Ставропольский край,особо тяжких,несовершеннолетними или при их соучастии,27,16,24,28,20,21
122,Чеченская Республика,особо тяжких,несовершеннолетними или при их соучастии,2,1,2,4,2,1
123,Астраханская область,особо тяжких,несовершеннолетними или при их соучастии,19,14,15,16,11,16
124,Волгоградская область,особо тяжких,несовершеннолетними или при их соучастии,26,30,32,17,20,38
125,город Севастополь,особо тяжких,несовершеннолетними или при их соучастии,3,3,0,1,1,8
