,region,gravity,type,2016,2017,2018,2019,2020,2021
1185,Иркутская область,средней тяжести,ранее судимыми (из совершивших преступление),2963,2931,2591,2553,2354,2196
1186,Кемеровская область - Кузбасс,средней тяжести,ранее судимыми (из совершивших преступление),4060,3702,3243,2844,2818,2592
1187,Красноярский край,средней тяжести,ранее судимыми (из совершивших преступление),3766,3393,2924,2867,2510,2900
1188,Новосибирская область,средней тяжести,ранее судимыми (из совершивших преступление),3008,2835,2877,2580,2229,1966
1189,Омская область,средней тяжести,ранее судимыми (из совершивших преступление),1727,1591,1527,1190,1106,989
1190,Республика Алтай,средней тяжести,ранее судимыми (из совершивших преступление),276,307,290,255,330,252
1191,Республика Бурятия,средней тяжести,ранее судимыми (из совершивших преступление),1130,1015,998,1002,860,858
1192,Республика Тыва,средней тяжести,ранее судимыми (из совершивших преступление),280,224,266,299,267,260
1193,Республика Хакасия,средней тяжести,ранее судимыми (из совершивших преступление),787,855,898,702,651,619
1194,Томская область,средней тяжести,ранее судимыми (из совершивших преступление),1100,1280,1052,931,897,799
1195,Амурская область,средней тяжести,ранее судимыми (из совершивших преступление),1133,1150,1053,769,794,690
1196,Еврейская автономная область,средней тяжести,ранее судимыми (из совершивших преступление),208,188,158,129,129,127
1197,Камчатский край,средней тяжести,ранее судимыми (из совершивших преступление),274,268,254,228,164,180
1198,Магаданская область,средней тяжести,ранее судимыми (из совершивших преступление),172,177,156,142,176,123
1199,Приморский край,средней тяжести,ранее судимыми (из совершивших преступление),2493,2279,1957,1724,1692,1566
1200,Республика Саха (Якутия),средней тяжести,ранее судимыми (из совершивших преступление),676,785,654,614,665,713
1201,Сахалинская область,средней тяжести,ранее судимыми (из совершивших преступление),611,555,538,456,518,540
1202,Хабаровский край,средней тяжести,ранее судимыми (из совершивших преступление),2043,1794,1542,1440,1380,1173
1203,Чукотский автономный округ,средней тяжести,ранее судимыми (из совершивших преступление),36,38,28,29,31,49
1204,Российская Федерация,небольшой тяжести,ранее судимыми (из совершивших преступление),169353,172026,180106,183406,188390,192968
1205,Белгородская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1303,1361,1473,1619,1630,1900
1206,Брянская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1272,1355,1458,1791,1951,2288
1207,Владимирская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1462,1477,1635,1550,1688,1649
1208,Воронежская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1813,2125,2401,2500,2384,2660
1209,Ивановская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1089,1037,1319,1341,1376,1496
1210,Калужская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1207,1547,1336,1383,1298,1346
1211,Костромская область,небольшой тяжести,ранее судимыми (из совершивших преступление),947,999,964,1005,1005,973
1212,Курская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1463,1545,1713,1885,1828,1900
1213,город Москва,небольшой тяжести,ранее судимыми (из совершивших преступление),5501,4130,4474,4332,4297,4417
1214,Московская область,небольшой тяжести,ранее судимыми (из совершивших преступление),6405,5916,6258,6895,6990,7679
1215,Липецкая область,небольшой тяжести,ранее судимыми (из совершивших преступление),1058,1279,1317,1335,1296,1547
1216,Орловская область,небольшой тяжести,ранее судимыми (из совершивших преступление),599,604,790,903,757,673
1217,Рязанская область,небольшой тяжести,ранее судимыми (из совершивших преступление),693,697,734,813,806,867
1218,Смоленская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1192,977,1093,1118,1251,1258
1219,Тамбовская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1277,1284,1340,1527,2000,2340
1220,Тверская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1130,1201,1357,1508,1559,1564
1221,Тульская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1172,1254,1427,1460,1581,1609
1222,Ярославская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1166,1225,1203,1318,1384,1556
1223,Архангельская область (кроме Ненецкого автономного округа),небольшой тяжести,ранее судимыми (из совершивших преступление),1758,1575,1767,2064,1880,1928
1224,Ненецкий автономный округ (Архангельская область),небольшой тяжести,ранее судимыми (из совершивших преступление),89,77,93,107,73,62
1225,город Санкт-Петербург,небольшой тяжести,ранее судимыми (из совершивших преступление),2708,2674,2822,3003,2717,2780
1226,Ленинградская область,небольшой тяжести,ранее судимыми (из совершивших преступление),983,963,1217,1072,1038,982
1227,Вологодская область,небольшой тяжести,ранее судимыми (из совершивших преступление),2287,2319,2300,2186,2121,2141
1228,Калининградская область,небольшой тяжести,ранее судимыми (из совершивших преступление),968,1053,990,1109,1301,1147
1229,Мурманская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1389,1313,1277,1474,1444,1510
1230,Новгородская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1015,939,963,861,996,1012
1231,Псковская область,небольшой тяжести,ранее судимыми (из совершивших преступление),703,750,832,941,1047,1057
1232,Республика Карелия,небольшой тяжести,ранее судимыми (из совершивших преступление),1030,917,995,1122,1321,1457
1233,Республика Коми,небольшой тяжести,ранее судимыми (из совершивших преступление),2110,2103,2309,2312,2416,2143
1234,Кабардино-Балкарская Республика,небольшой тяжести,ранее судимыми (из совершивших преступление),546,568,607,565,637,704
1235,Карачаево-Черкесская Республика,небольшой тяжести,ранее судимыми (из совершивших преступление),382,456,551,481,592,520
1236,Республика Дагестан,небольшой тяжести,ранее судимыми (из совершивших преступление),1053,838,877,1123,1085,1114
1237,Республика Ингушетия,небольшой тяжести,ранее судимыми (из совершивших преступление),117,78,92,111,106,141
1238,Республика Северная Осетия-Алания,небольшой тяжести,ранее судимыми (из совершивших преступление),612,815,925,1051,1314,1149
1239,Ставропольский край,небольшой тяжести,ранее судимыми (из совершивших преступление),3096,3045,2955,3157,3656,3420
1240,Чеченская Республика,небольшой тяжести,ранее судимыми (из совершивших преступление),150,197,177,218,195,197
1241,Астраханская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1970,1534,1453,1539,1378,1285
1242,Волгоградская область,небольшой тяжести,ранее судимыми (из совершивших преступление),2327,2313,2392,2459,2753,2697
1243,город Севастополь,небольшой тяжести,ранее судимыми (из совершивших преступление),422,286,272,252,277,372
1244,Ростовская область,небольшой тяжести,ранее судимыми (из совершивших преступление),4444,4555,4911,4692,4734,4872
1245,Краснодарский край,небольшой тяжести,ранее судимыми (из совершивших преступление),4644,5066,4754,4930,5280,5777
1246,Республика Адыгея (Адыгея),небольшой тяжести,ранее судимыми (из совершивших преступление),270,384,362,391,364,374
1247,Республика Калмыкия,небольшой тяжести,ранее судимыми (из совершивших преступление),273,347,380,382,387,358
1248,Республика Крым,небольшой тяжести,ранее судимыми (из совершивших преступление),1502,1640,1646,1536,1719,1803
1249,Кировская область,небольшой тяжести,ранее судимыми (из совершивших преступление),2490,2534,2595,2637,2746,2699
1250,Нижегородская область,небольшой тяжести,ранее судимыми (из совершивших преступление),3126,3216,3578,3989,4012,3943
1251,Оренбургская область,небольшой тяжести,ранее судимыми (из совершивших преступление),2494,2778,2920,3198,3688,3584
1252,Пензенская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1659,1618,1632,1705,1839,1947
1253,Пермский край,небольшой тяжести,ранее судимыми (из совершивших преступление),5450,5603,5182,5478,5070,5190
1254,Республика Татарстан (Татарстан),небольшой тяжести,ранее судимыми (из совершивших преступление),3827,4271,4255,4414,4666,4979
1255,Республика Башкортостан,небольшой тяжести,ранее судимыми (из совершивших преступление),6193,6335,6315,6103,6047,6656
1256,Республика Марий Эл,небольшой тяжести,ранее судимыми (из совершивших преступление),506,571,647,637,605,605
1257,Республика Мордовия,небольшой тяжести,ранее судимыми (из совершивших преступление),1057,1137,1227,1203,1139,1036
1258,Самарская область,небольшой тяжести,ранее судимыми (из совершивших преступление),5336,5451,5212,5314,5678,6275
1259,Саратовская область,небольшой тяжести,ранее судимыми (из совершивших преступление),2540,2464,2861,2717,2870,2979
1260,Удмуртская Республика,небольшой тяжести,ранее судимыми (из совершивших преступление),3313,2981,3288,3212,3244,3389
1261,Ульяновская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1470,1407,1742,1851,2080,1859
1262,Чувашская Республика - Чувашия,небольшой тяжести,ранее судимыми (из совершивших преступление),1278,1239,1498,1559,1581,1675
1263,Курганская область,небольшой тяжести,ранее судимыми (из совершивших преступление),2296,1968,2085,2162,1896,1755
1264,Свердловская область,небольшой тяжести,ранее судимыми (из совершивших преступление),7391,6626,6924,6638,7096,7617
1265,Тюменская область (без автономных округов),небольшой тяжести,ранее судимыми (из совершивших преступление),2422,2666,3003,3150,2775,2854
1266,Ханты-Мансийский автономный округ - Югра (Тюменская область),небольшой тяжести,ранее судимыми (из совершивших преступление),1676,1702,1741,1572,1674,1833
1267,Ямало-Ненецкий автономный округ (Тюменская область),небольшой тяжести,ранее судимыми (из совершивших преступление),668,629,724,673,715,636
1268,Челябинская область,небольшой тяжести,ранее судимыми (из совершивших преступление),5532,5718,6000,6199,6622,6519
1269,Алтайский край,небольшой тяжести,ранее судимыми (из совершивших преступление),3759,4027,4249,4398,4196,4329
1270,Забайкальский край,небольшой тяжести,ранее судимыми (из совершивших преступление),2428,2221,2290,2527,2345,2565
1271,Иркутская область,небольшой тяжести,ранее судимыми (из совершивших преступление),3070,3602,3547,3632,3870,3684
1272,Кемеровская область - Кузбасс,небольшой тяжести,ранее судимыми (из совершивших преступление),4974,5676,6374,6041,6397,6417
1273,Красноярский край,небольшой тяжести,ранее судимыми (из совершивших преступление),3731,4143,3935,3925,4126,4482
1274,Новосибирская область,небольшой тяжести,ранее судимыми (из совершивших преступление),2767,3269,3717,3994,3985,2929
1275,Омская область,небольшой тяжести,ранее судимыми (из совершивших преступление),2861,2914,3359,3116,3369,3180
1276,Республика Алтай,небольшой тяжести,ранее судимыми (из совершивших преступление),450,511,616,530,624,639
1277,Республика Бурятия,небольшой тяжести,ранее судимыми (из совершивших преступление),1684,1554,1659,1757,1625,1781
1278,Республика Тыва,небольшой тяжести,ранее судимыми (из совершивших преступление),434,550,646,715,696,761
1279,Республика Хакасия,небольшой тяжести,ранее судимыми (из совершивших преступление),1223,1428,1576,1463,1468,1700
1280,Томская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1919,2412,2571,2189,2271,2142
1281,Амурская область,небольшой тяжести,ранее судимыми (из совершивших преступление),1407,1409,1652,1576,1585,1654
1282,Еврейская автономная область,небольшой тяжести,ранее судимыми (из совершивших преступление),239,261,249,222,306,311
1283,Камчатский край,небольшой тяжести,ранее судимыми (из совершивших преступление),654,688,673,739,689,667
1284,Магаданская область,небольшой тяжести,ранее судимыми (из совершивших преступление),211,245,233,246,202,194
1285,Приморский край,небольшой тяжести,ранее судимыми (из совершивших преступление),2688,2785,2891,2581,2684,2750
1286,Республика Саха (Якутия),небольшой тяжести,ранее судимыми (из совершивших преступление),827,856,921,922,1013,1055
1287,Сахалинская область,небольшой тяжести,ранее судимыми (из совершивших преступление),727,769,793,738,789,776
1288,Хабаровский край,небольшой тяжести,ранее судимыми (из совершивших преступление),1967,1798,1726,1749,1746,1815
1289,Чукотский автономный округ,небольшой тяжести,ранее судимыми (из совершивших преступление),53,80,54,75,77,73
1290,Российская Федерация,Всего,группой лиц,6569,4586,4084,3663,3456,2690
1291,Белгородская область,Всего,группой лиц,35,17,37,22,15,9
1292,Брянская область,Всего,группой лиц,43,35,25,18,26,18
1293,Владимирская область,Всего,группой лиц,103,44,37,28,16,23
1294,Воронежская область,Всего,группой лиц,31,30,33,35,28,24
1295,Ивановская область,Всего,группой лиц,33,23,12,21,11,13
1296,Калужская область,Всего,группой лиц,47,25,15,17,19,11
1297,Костромская область,Всего,группой лиц,55,17,16,8,12,9
1298,Курская область,Всего,группой лиц,45,21,20,16,8,8
1299,город Москва,Всего,группой лиц,124,99,172,101,103,99
1300,Московская область,Всего,группой лиц,475,348,245,259,262,129
1301,Липецкая область,Всего,группой лиц,25,17,17,11,16,14
1302,Орловская область,Всего,группой лиц,37,11,12,14,16,8
1303,Рязанская область,Всего,группой лиц,23,23,23,22,13,12
1304,Смоленская область,Всего,группой лиц,116,47,43,33,25,14
1305,Тамбовская область,Всего,группой лиц,43,34,31,28,22,21
1306,Тверская область,Всего,группой лиц,85,63,35,33,31,22
1307,Тульская область,Всего,группой лиц,37,28,29,24,19,11
1308,Ярославская область,Всего,группой лиц,21,21,19,18,25,15
1309,Архангельская область (кроме Ненецкого автономного округа),Всего,группой лиц,78,64,78,56,45,37
1310,Ненецкий автономный округ (Архангельская область),Всего,группой лиц,3,0,4,3,4,5
1311,город Санкт-Петербург,Всего,группой лиц,143,73,62,41,71,56
1312,Ленинградская область,Всего,группой лиц,83,77,30,54,52,51
1313,Вологодская область,Всего,группой лиц,108,46,32,56,40,33
1314,Калининградская область,Всего,группой лиц,27,19,18,13,20,10
1315,Мурманская область,Всего,группой лиц,30,11,14,19,12,14
1316,Новгородская область,Всего,группой лиц,39,32,27,21,18,26
1317,Псковская область,Всего,группой лиц,22,23,10,10,7,11
1318,Республика Карелия,Всего,группой лиц,36,35,34,25,16,10
1319,Республика Коми,Всего,группой лиц,120,55,60,60,57,37
1320,Кабардино-Балкарская Республика,Всего,группой лиц,18,13,10,7,15,12
1321,Карачаево-Черкесская Республика,Всего,группой лиц,9,4,4,7,8,6
1322,Республика Дагестан,Всего,группой лиц,34,16,26,20,37,8
1323,Республика Ингушетия,Всего,группой лиц,5,4,40,5,13,7
1324,Республика Северная Осетия-Алания,Всего,группой лиц,23,25,28,20,14,11
1325,Ставропольский край,Всего,группой лиц,254,283,169,119,148,110
1326,Чеченская Республика,Всего,группой лиц,12,12,9,8,5,1
1327,Астраханская область,Всего,группой лиц,91,36,51,42,42,40
1328,Волгоградская область,Всего,группой лиц,102,60,65,51,73,52
1329,город Севастополь,Всего,группой лиц,4,9,5,6,10,5
1330,Ростовская область,Всего,группой лиц,146,90,77,65,87,48
1331,Краснодарский край,Всего,группой лиц,151,124,92,101,97,67
1332,Республика Адыгея (Адыгея),Всего,группой лиц,10,12,4,1,2,2
1333,Республика Калмыкия,Всего,группой лиц,14,12,21,19,17,16
1334,Республика Крым,Всего,группой лиц,153,30,37,23,23,16
1335,Кировская область,Всего,группой лиц,79,64,86,57,41,49
1336,Нижегородская область,Всего,группой лиц,111,47,59,53,44,41
1337,Оренбургская область,Всего,группой лиц,77,79,58,46,56,39
1338,Пензенская область,Всего,группой лиц,36,21,22,21,31,28
1339,Пермский край,Всего,группой лиц,170,99,96,103,94,58
1340,Республика Татарстан (Татарстан),Всего,группой лиц,147,70,72,74,65,44
1341,Республика Башкортостан,Всего,группой лиц,138,104,111,101,78,74
1342,Республика Марий Эл,Всего,группой лиц,13,17,13,14,4,8
1343,Республика Мордовия,Всего,группой лиц,34,25,23,23,21,9
1344,Самарская область,Всего,группой лиц,166,44,56,33,41,51
1345,Саратовская область,Всего,группой лиц,64,55,70,35,47,27
1346,Удмуртская Республика,Всего,группой лиц,41,22,23,31,25,15
1347,Ульяновская область,Всего,группой лиц,52,30,19,26,18,22
1348,Чувашская Республика - Чувашия,Всего,группой лиц,80,36,32,35,16,8
1349,Курганская область,Всего,группой лиц,56,31,19,40,20,13
1350,Свердловская область,Всего,группой лиц,199,145,115,123,90,61
1351,Тюменская область (без автономных округов),Всего,группой лиц,64,45,53,52,50,27
1352,Ханты-Мансийский автономный округ - Югра (Тюменская область),Всего,группой лиц,26,25,34,21,14,22
1353,Ямало-Ненецкий автономный округ (Тюменская область),Всего,группой лиц,31,24,9,14,10,8
1354,Челябинская область,Всего,группой лиц,210,156,154,146,129,110
1355,Алтайский край,Всего,группой лиц,69,47,51,60,64,52
1356,Забайкальский край,Всего,группой лиц,110,75,65,51,43,36
1357,Иркутская область,Всего,группой лиц,173,145,101,99,86,69
1358,Кемеровская область - Кузбасс,Всего,группой лиц,144,99,119,115,100,59
1359,Красноярский край,Всего,группой лиц,184,139,115,96,85,84
1360,Новосибирская область,Всего,группой лиц,73,50,54,49,34,66
1361,Омская область,Всего,группой лиц,145,158,67,55,59,30
1362,Республика Алтай,Всего,группой лиц,3,11,11,10,1,1
1363,Республика Бурятия,Всего,группой лиц,58,44,51,55,29,52
1364,Республика Тыва,Всего,группой лиц,20,27,21,20,17,18
1365,Республика Хакасия,Всего,группой лиц,26,6,19,7,17,9
1366,Томская область,Всего,группой лиц,60,39,23,49,34,19
1367,Амурская область,Всего,группой лиц,46,52,25,28,52,31
1368,Еврейская автономная область,Всего,группой лиц,11,14,8,14,4,9
1369,Камчатский край,Всего,группой лиц,28,16,14,8,15,10
1370,Магаданская область,Всего,группой лиц,19,24,4,10,12,4
1371,Приморский край,Всего,группой лиц,136,105,100,62,81,64
1372,Республика Саха (Якутия),Всего,группой лиц,104,51,42,64,43,35
1373,Сахалинская область,Всего,группой лиц,23,40,25,23,21,18
1374,Хабаровский край,Всего,группой лиц,93,78,61,42,49,27
1375,Чукотский автономный округ,Всего,группой лиц,4,2,0,0,3,2
1376,Российская Федерация,особо тяжких,группой лиц,908,726,720,651,580,494
1377,Белгородская область,особо тяжких,группой лиц,7,5,20,7,7,4
1378,Брянская область,особо тяжких,группой лиц,11,8,5,5,9,9
1379,Владимирская область,особо тяжких,группой лиц,3,6,6,2,3,6
1380,Воронежская область,особо тяжких,группой лиц,5,8,6,4,7,9
1381,Ивановская область,особо тяжких,группой лиц,5,3,2,2,1,3
1382,Калужская область,особо тяжких,группой лиц,12,6,1,2,3,1
1383,Костромская область,особо тяжких,группой лиц,7,2,1,1,1,2
1384,Курская область,особо тяжких,группой лиц,1,3,1,1,3,1
1385,город Москва,особо тяжких,группой лиц,26,19,24,18,13,18
1386,Московская область,особо тяжких,группой лиц,48,46,44,32,23,22
1387,Липецкая область,особо тяжких,группой лиц,4,4,3,1,2,4
1388,Орловская область,особо тяжких,группой лиц,6,3,1,1,4,0
1389,Рязанская область,особо тяжких,группой лиц,2,2,4,4,3,4
1390,Смоленская область,особо тяжких,группой лиц,8,2,9,5,7,4
1391,Тамбовская область,особо тяжких,группой лиц,6,4,7,2,4,2
1392,Тверская область,особо тяжких,группой лиц,11,8,8,3,2,6
1393,Тульская область,особо тяжких,группой лиц,4,7,6,2,1,2
1394,Ярославская область,особо тяжких,группой лиц,4,4,3,6,8,1
1395,Архангельская область (кроме Ненецкого автономного округа),особо тяжких,группой лиц,14,9,10,11,7,8
1396,Ненецкий автономный округ (Архангельская область),особо тяжких,группой лиц,0,0,0,0,1,0
1397,город Санкт-Петербург,особо тяжких,группой лиц,19,16,13,15,14,5
1398,Ленинградская область,особо тяжких,группой лиц,20,12,6,11,11,8
1399,Вологодская область,особо тяжких,группой лиц,13,6,4,11,7,3
1400,Калининградская область,особо тяжких,группой лиц,5,6,3,4,8,3
1401,Мурманская область,особо тяжких,группой лиц,4,1,2,5,2,4
1402,Новгородская область,особо тяжких,группой лиц,9,5,2,1,2,1
1403,Псковская область,особо тяжких,группой лиц,2,4,1,4,1,2
1404,Республика Карелия,особо тяжких,группой лиц,6,4,11,9,2,5
1405,Республика Коми,особо тяжких,группой лиц,18,4,5,6,4,3
1406,Кабардино-Балкарская Республика,особо тяжких,группой лиц,0,3,1,1,2,3
1407,Карачаево-Черкесская Республика,особо тяжких,группой лиц,1,0,0,0,0,0
1408,Республика Дагестан,особо тяжких,группой лиц,6,2,4,6,4,1
1409,Республика Ингушетия,особо тяжких,группой лиц,3,1,3,0,1,2
1410,Республика Северная Осетия-Алания,особо тяжких,группой лиц,2,2,5,3,6,1
1411,Ставропольский край,особо тяжких,группой лиц,16,11,22,15,14,8
1412,Чеченская Республика,особо тяжких,группой лиц,3,0,3,4,0,0
1413,Астраханская область,особо тяжких,группой лиц,12,8,5,6,6,3
1414,Волгоградская область,особо тяжких,группой лиц,18,6,13,8,19,3
1415,город Севастополь,особо тяжких,группой лиц,0,3,2,2,0,0
1416,Ростовская область,особо тяжких,группой лиц,12,15,12,15,7,7
1417,Краснодарский край,особо тяжких,группой лиц,22,16,19,15,12,11
1418,Республика Адыгея (Адыгея),особо тяжких,группой лиц,2,0,0,0,0,0
1419,Республика Калмыкия,особо тяжких,группой лиц,3,3,3,0,1,2
1420,Республика Крым,особо тяжких,группой лиц,8,5,9,5,10,1
1421,Кировская область,особо тяжких,группой лиц,3,6,4,4,3,12
1422,Нижегородская область,особо тяжких,группой лиц,13,8,14,11,5,11
1423,Оренбургская область,особо тяжких,группой лиц,13,19,8,20,9,9
1424,Пензенская область,особо тяжких,группой лиц,3,4,2,0,4,2
1425,Пермский край,особо тяжких,группой лиц,30,23,20,16,19,11
1426,Республика Татарстан (Татарстан),особо тяжких,группой лиц,13,6,7,8,5,9
1427,Республика Башкортостан,особо тяжких,группой лиц,32,20,26,16,15,11
1428,Республика Марий Эл,особо тяжких,группой лиц,3,3,1,1,0,0
1429,Республика Мордовия,особо тяжких,группой лиц,8,2,2,2,4,3
1430,Самарская область,особо тяжких,группой лиц,24,11,15,11,12,17
1431,Саратовская область,особо тяжких,группой лиц,10,8,3,7,12,3
1432,Удмуртская Республика,особо тяжких,группой лиц,10,5,3,5,7,1
1433,Ульяновская область,особо тяжких,группой лиц,8,6,4,4,2,6
1434,Чувашская Республика - Чувашия,особо тяжких,группой лиц,2,1,3,27,1,0
1435,Курганская область,особо тяжких,группой лиц,8,5,3,2,3,2
1436,Свердловская область,особо тяжких,группой лиц,37,44,26,29,23,13
1437,Тюменская область (без автономных округов),особо тяжких,группой лиц,11,2,6,11,4,4
1438,Ханты-Мансийский автономный округ - Югра (Тюменская область),особо тяжких,группой лиц,3,2,10,8,2,2
1439,Ямало-Ненецкий автономный округ (Тюменская область),особо тяжких,группой лиц,7,7,3,6,1,2
1440,Челябинская область,особо тяжких,группой лиц,29,24,22,17,16,19
1441,Алтайский край,особо тяжких,группой лиц,13,16,8,14,17,16
1442,Забайкальский край,особо тяжких,группой лиц,8,11,10,8,11,9
1443,Иркутская область,особо тяжких,группой лиц,26,27,25,28,20,20
1444,Кемеровская область - Кузбасс,особо тяжких,группой лиц,21,19,31,23,24,12
1445,Красноярский край,особо тяжких,группой лиц,33,23,22,19,20,14
1446,Новосибирская область,особо тяжких,группой лиц,15,12,18,7,4,12
1447,Омская область,особо тяжких,группой лиц,13,19,10,10,12,6
1448,Республика Алтай,особо тяжких,группой лиц,1,1,0,1,0,0
1449,Республика Бурятия,особо тяжких,группой лиц,9,13,8,7,8,6
1450,Республика Тыва,особо тяжких,группой лиц,9,8,11,7,5,6
1451,Республика Хакасия,особо тяжких,группой лиц,7,1,4,1,3,1
1452,Томская область,особо тяжких,группой лиц,11,9,3,9,7,5
1453,Амурская область,особо тяжких,группой лиц,7,11,5,9,10,7
1454,Еврейская автономная область,особо тяжких,группой лиц,2,3,1,1,0,1
1455,Камчатский край,особо тяжких,группой лиц,5,3,3,1,2,4
1456,Магаданская область,особо тяжких,группой лиц,5,6,2,7,2,0
1457,Приморский край,особо тяжких,группой лиц,23,23,15,10,19,23
1458,Республика Саха (Якутия),особо тяжких,группой лиц,12,3,6,10,5,12
1459,Сахалинская область,особо тяжких,группой лиц,6,5,8,7,7,4
1460,Хабаровский край,особо тяжких,группой лиц,13,15,19,6,10,13
1461,Чукотский автономный округ,особо тяжких,группой лиц,1,1,0,0,0,0
1462,Российская Федерация,тяжких,группой лиц,1579,1091,957,819,820,638
1463,Белгородская область,тяжких,группой лиц,10,5,4,6,0,3
1464,Брянская область,тяжких,группой лиц,3,8,2,3,6,4
1465,Владимирская область,тяжких,группой лиц,37,19,10,8,4,5
1466,Воронежская область,тяжких,группой лиц,8,7,7,12,8,4
1467,Ивановская область,тяжких,группой лиц,7,6,2,10,3,2
1468,Калужская область,тяжких,группой лиц,7,6,0,6,1,1
1469,Костромская область,тяжких,группой лиц,12,3,4,0,3,2
1470,Курская область,тяжких,группой лиц,4,5,10,4,1,2
1471,город Москва,тяжких,группой лиц,26,28,36,17,31,29
1472,Московская область,тяжких,группой лиц,191,173,83,89,111,50
1473,Липецкая область,тяжких,группой лиц,5,2,2,0,2,3
1474,Орловская область,тяжких,группой лиц,10,1,1,6,7,3
1475,Рязанская область,тяжких,группой лиц,5,6,8,7,3,3
1476,Смоленская область,тяжких,группой лиц,44,8,9,8,6,2
1477,Тамбовская область,тяжких,группой лиц,9,10,4,7,3,6
1478,Тверская область,тяжких,группой лиц,24,11,7,5,7,5
1479,Тульская область,тяжких,группой лиц,7,4,5,4,3,5
1480,Ярославская область,тяжких,группой лиц,3,6,6,1,4,4
1481,Архангельская область (кроме Ненецкого автономного округа),тяжких,группой лиц,9,12,16,12,5,5
1482,Ненецкий автономный округ (Архангельская область),тяжких,группой лиц,0,0,0,1,2,2
1483,город Санкт-Петербург,тяжких,группой лиц,34,19,7,3,19,17
1484,Ленинградская область,тяжких,группой лиц,11,26,7,13,9,7
1485,Вологодская область,тяжких,группой лиц,10,7,3,7,8,7
1486,Калининградская область,тяжких,группой лиц,3,5,3,1,4,3
1487,Мурманская область,тяжких,группой лиц,3,2,1,3,3,2
1488,Новгородская область,тяжких,группой лиц,8,6,8,7,10,13
1489,Псковская область,тяжких,группой лиц,5,3,4,4,3,3
1490,Республика Карелия,тяжких,группой лиц,3,3,3,6,4,3
1491,Республика Коми,тяжких,группой лиц,17,16,11,11,6,5
1492,Кабардино-Балкарская Республика,тяжких,группой лиц,6,1,4,2,3,4
1493,Карачаево-Черкесская Республика,тяжких,группой лиц,1,3,2,3,3,2
1494,Республика Дагестан,тяжких,группой лиц,9,3,4,7,4,4
1495,Республика Ингушетия,тяжких,группой лиц,0,1,32,0,4,2
1496,Республика Северная Осетия-Алания,тяжких,группой лиц,8,11,12,11,5,5
1497,Ставропольский край,тяжких,группой лиц,79,51,67,39,42,38
1498,Чеченская Республика,тяжких,группой лиц,2,5,0,1,0,1
1499,Астраханская область,тяжких,группой лиц,34,8,10,12,9,12
1500,Волгоградская область,тяжких,группой лиц,23,9,16,13,18,9
1501,город Севастополь,тяжких,группой лиц,0,1,2,2,4,1
1502,Ростовская область,тяжких,группой лиц,22,20,11,9,12,6
1503,Краснодарский край,тяжких,группой лиц,28,40,13,13,20,13
1504,Республика Адыгея (Адыгея),тяжких,группой лиц,1,8,0,0,0,0
1505,Республика Калмыкия,тяжких,группой лиц,3,4,9,8,7,9
1506,Республика Крым,тяжких,группой лиц,12,8,8,7,6,5
1507,Кировская область,тяжких,группой лиц,25,11,23,12,3,17
1508,Нижегородская область,тяжких,группой лиц,20,9,4,5,5,3
1509,Оренбургская область,тяжких,группой лиц,16,25,13,5,14,16
1510,Пензенская область,тяжких,группой лиц,7,3,6,2,4,5
1511,Пермский край,тяжких,группой лиц,20,17,20,24,17,11
1512,Республика Татарстан (Татарстан),тяжких,группой лиц,31,16,14,26,16,3
1513,Республика Башкортостан,тяжких,группой лиц,23,17,19,14,11,14
1514,Республика Марий Эл,тяжких,группой лиц,2,3,3,3,0,1
1515,Республика Мордовия,тяжких,группой лиц,4,4,2,5,6,1
1516,Самарская область,тяжких,группой лиц,63,10,4,7,7,13
1517,Саратовская область,тяжких,группой лиц,11,7,19,7,15,8
1518,Удмуртская Республика,тяжких,группой лиц,9,4,4,5,6,3
1519,Ульяновская область,тяжких,группой лиц,10,8,2,5,4,3
1520,Чувашская Республика - Чувашия,тяжких,группой лиц,7,3,2,0,3,2
1521,Курганская область,тяжких,группой лиц,5,10,2,8,1,3
1522,Свердловская область,тяжких,группой лиц,49,41,20,35,20,17
1523,Тюменская область (без автономных округов),тяжких,группой лиц,30,15,25,5,16,10
1524,Ханты-Мансийский автономный округ - Югра (Тюменская область),тяжких,группой лиц,5,6,9,4,3,7
1525,Ямало-Ненецкий автономный округ (Тюменская область),тяжких,группой лиц,14,1,1,2,1,0
