,region,production_field,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
22,Костромская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,24826937.2,34065533.83,50947897.26,63379249.7,49822046.7,70201371.6,81591078.7,96282728.3,100103280.72,101087745.0,108057516.4,106428629.8,118263216.38,135819920.2,143962807.8,137460634.8
23,Костромская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,13620550.1,16134507.1,16441239.45,20891294.8,21174508.0,24703305.6,29461309.3,30806535.0,33562430.7,36551447.6,34179346.7,36590073.4,39628210.8,36784728.6,41467418.1,32142719.0
24,Курская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,21015318.5,21934135.1,26157750.0,33708760.9,16706891.0,38473169.8,53257094.8,48978727.7,50092604.1,43030162.9,44939583.4,49179984.2,67782750.0,91249480.0,105884871.7,104702314.0
25,Курская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,35523647.0,43204171.64,58246220.66,69999234.35,70859401.65,82607645.8,94857193.5,104611831.35,114020237.66,119510454.01,151800308.4,167196610.05,176100175.2,194722555.4,197465869.8,210207310.4
26,Курская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,23211527.9,25353337.8,28592177.03,34960939.4,44433446.15,54342543.8,55638013.4,51341982.0,50936790.92,59714245.92,59316467.2,59149956.8,60308600.5,58383081.5,60319708.5,57324742.9
27,Липецкая область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,1203125.2,1971660.2,3407524.9,4124133.9,3083785.0,3045511.0,3654905.0,5139567.8,5618268.35,5434058.1,5002472.1,5071710.02,5765034.1,7051861.7,7731655.2,6843657.3
28,Липецкая область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,180854803.0,219487572.8,253261731.3,317542524.8,228463448.9,303619441.9,355824212.8,382979179.17,386962173.25,451425809.43,536869497.3,574429917.38,628043268.2,756975670.3,683021815.9,737842641.0
29,Липецкая область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,16892796.7,14347033.7,13233866.1,16666966.3,17952342.0,22716426.2,26348564.4,26035212.95,27088963.65,27818178.57,28941375.9,27249417.69,25921159.6,25534033.2,24443387.1,23272161.3
30,Московская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,3783851.5,5214695.4,7496608.6,11931251.87,9611706.77,7183868.6,7455736.3,8514240.47,9101201.2,10078140.52,15495486.9,12273113.97,13869594.7,12744378.6,15399185.4,13840410.0
31,Московская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,523214844.1,625948991.7,908782277.9,1069302709.0,1032252834.0,1241243464.72,1425058084.36,1528670046.92,1611823466.03,1767158796.7,2086348910.38,2161204874.63,2328070910.42,2600340207.06,3014481197.2,3116645931.94
