,region,gravity,type,2016,2017,2018,2019,2020,2021
58,Чувашская Республика - Чувашия,Всего,несовершеннолетними или при их соучастии,37.521,29.291,29.892,31.552,29.397,21.691
59,Курганская область,Всего,несовершеннолетними или при их соучастии,74.255,60.297,70.251,62.897,48.237,40.07
60,Свердловская область,Всего,несовершеннолетними или при их соучастии,54.18,48.668,48.598,45.485,37.419,34.405
61,Тюменская область (без автономных округов),Всего,несовершеннолетними или при их соучастии,46.541,43.508,37.497,35.03,29.14,28.055
62,Ханты-Мансийский автономный округ - Югра (Тюменская область),Всего,несовершеннолетними или при их соучастии,34.178,35.235,28.458,20.195,19.586,14.873
63,Ямало-Ненецкий автономный округ (Тюменская область),Всего,несовершеннолетними или при их соучастии,42.688,26.677,25.067,25.67,13.959,13.894
64,Челябинская область,Всего,несовершеннолетними или при их соучастии,55.274,52.051,58.803,51.701,49.447,36.976
65,Алтайский край,Всего,несовершеннолетними или при их соучастии,55.117,47.935,45.998,41.195,38.28,33.531
66,Забайкальский край,Всего,несовершеннолетними или при их соучастии,119.759,105.377,91.722,79.378,69.171,55.72
67,Иркутская область,Всего,несовершеннолетними или при их соучастии,66.562,65.175,60.769,52.799,48.093,42.779
68,Кемеровская область - Кузбасс,Всего,несовершеннолетними или при их соучастии,60.678,51.904,58.222,52.314,56.7,47.884
69,Красноярский край,Всего,несовершеннолетними или при их соучастии,64.05,49.108,43.386,38.796,35.098,33.895
70,Новосибирская область,Всего,несовершеннолетними или при их соучастии,58.612,40.834,41.666,38.233,38.418,30.619
71,Омская область,Всего,несовершеннолетними или при их соучастии,35.33,27.07,26.427,22.631,14.273,15.181
72,Республика Алтай,Всего,несовершеннолетними или при их соучастии,110.15,76.034,73.373,70.363,56.771,43.448
73,Республика Бурятия,Всего,несовершеннолетними или при их соучастии,90.809,82.916,94.565,67.123,65.521,60.177
74,Республика Тыва,Всего,несовершеннолетними или при их соучастии,74.769,95.119,108.79,109.425,78.807,61.447
75,Республика Хакасия,Всего,несовершеннолетними или при их соучастии,64.645,50.217,49.859,38.794,44.547,30.825
76,Томская область,Всего,несовершеннолетними или при их соучастии,63.152,50.7,45.35,42.23,36.784,19.62
77,Амурская область,Всего,несовершеннолетними или при их соучастии,97.06,88.431,69.136,63.793,54.554,39.778
78,Еврейская автономная область,Всего,несовершеннолетними или при их соучастии,62.003,59.068,55.551,42.523,41.692,61.981
79,Камчатский край,Всего,несовершеннолетними или при их соучастии,67.697,62.276,67.817,47.025,51.116,36.578
80,Магаданская область,Всего,несовершеннолетними или при их соучастии,69.015,87.243,51.356,55.936,42.098,66.171
81,Приморский край,Всего,несовершеннолетними или при их соучастии,59.409,51.115,43.962,47.931,33.916,35.573
82,Республика Саха (Якутия),Всего,несовершеннолетними или при их соучастии,49.704,52.345,48.22,45.191,34.465,24.441
83,Сахалинская область,Всего,несовершеннолетними или при их соучастии,67.311,61.969,53.246,48.607,51.203,56.011
84,Хабаровский край,Всего,несовершеннолетними или при их соучастии,87.295,65.777,58.27,47.75,44.541,36.661
85,Чукотский автономный округ,Всего,несовершеннолетними или при их соучастии,51.837,38.136,32.423,44.299,29.828,20.191
86,Российская Федерация,особо тяжких,несовершеннолетними или при их соучастии,1.114,1.269,1.34,1.433,1.41,1.259
87,Белгородская область,особо тяжких,несовершеннолетними или при их соучастии,0.323,0.451,0.516,0.517,0.839,0.843
88,Брянская область,особо тяжких,несовершеннолетними или при их соучастии,1.795,1.639,0.743,1.5,1.258,2.621
89,Владимирская область,особо тяжких,несовершеннолетними или при их соучастии,1.217,0.432,0.435,0.805,0.736,1.639
90,Воронежская область,особо тяжких,несовершеннолетними или при их соучастии,0.729,0.642,0.943,1.289,1.334,2.906
91,Ивановская область,особо тяжких,несовершеннолетними или при их соучастии,0.777,0.782,1.478,5.776,1.203,0.811
92,Калужская область,особо тяжких,несовершеннолетними или при их соучастии,0.693,2.07,4.644,6.341,4.389,3.297
93,Костромская область,особо тяжких,несовершеннолетними или при их соучастии,1.535,0.771,1.244,2.981,2.368,1.114
94,Курская область,особо тяжких,несовершеннолетними или при их соучастии,2.232,1.514,2.69,4.697,1.54,2.098
95,город Москва,особо тяжких,несовершеннолетними или при их соучастии,0.3,0.355,1.039,0.373,0.3,0.371
96,Московская область,особо тяжких,несовершеннолетними или при их соучастии,0.615,0.377,0.453,0.316,0.507,0.623
97,Липецкая область,особо тяжких,несовершеннолетними или при их соучастии,0.692,0.519,0.696,0.175,0.878,0.886
98,Орловская область,особо тяжких,несовершеннолетними или при их соучастии,0.79,1.192,1.071,0.676,0.682,0.276
99,Рязанская область,особо тяжких,несовершеннолетними или при их соучастии,0.619,0.444,0.535,0.449,0.541,0.911
100,Смоленская область,особо тяжких,несовершеннолетними или при их соучастии,0.522,1.364,1.264,3.396,1.391,2.171
101,Тамбовская область,особо тяжких,несовершеннолетними или при их соучастии,0.666,0.192,1.355,1.083,0.099,0.704
102,Тверская область,особо тяжких,несовершеннолетними или при их соучастии,1.303,1.08,0.545,1.181,2.301,1.124
103,Тульская область,особо тяжких,несовершеннолетними или при их соучастии,0.465,0.267,0.201,0.609,0.409,0.276
104,Ярославская область,особо тяжких,несовершеннолетними или при их соучастии,0.629,0.787,0.553,0.715,1.277,0.564
105,Архангельская область (кроме Ненецкого автономного округа),особо тяжких,несовершеннолетними или при их соучастии,2.035,0.891,0.99,1.818,3.662,4.064
106,Ненецкий автономный округ (Архангельская область),особо тяжких,несовершеннолетними или при их соучастии,0.0,4.552,0.0,2.282,2.267,4.506
107,город Санкт-Петербург,особо тяжких,несовершеннолетними или при их соучастии,0.976,1.136,0.878,1.059,0.685,0.91
108,Ленинградская область,особо тяжких,несовершеннолетними или при их соучастии,0.506,0.837,0.882,0.325,0.373,0.793
109,Вологодская область,особо тяжких,несовершеннолетними или при их соучастии,1.6,1.014,1.19,1.028,0.517,1.824
110,Калининградская область,особо тяжких,несовершеннолетними или при их соучастии,0.819,0.71,1.005,0.2,1.086,0.884
111,Мурманская область,особо тяжких,несовершеннолетними или при их соучастии,2.362,0.924,0.929,2.941,2.158,1.365
112,Новгородская область,особо тяжких,несовершеннолетними или при их соучастии,0.65,2.122,2.473,1.166,2.515,1.182
113,Псковская область,особо тяжких,несовершеннолетними или при их соучастии,0.619,0.623,0.785,6.988,1.278,0.161
