,region,gravity,type,2016,2017,2018,2019,2020,2021
1010,Челябинская область,особо тяжких,ранее судимыми (из совершивших преступление),18.282,19.901,24.592,18.356,15.405,19.577
1011,Алтайский край,особо тяжких,ранее судимыми (из совершивших преступление),8.793,12.047,10.0,9.688,8.761,9.45
1012,Забайкальский край,особо тяжких,ранее судимыми (из совершивших преступление),28.624,21.965,15.38,16.42,22.365,15.757
1013,Иркутская область,особо тяжких,ранее судимыми (из совершивших преступление),13.594,12.412,11.147,11.886,9.368,11.326
1014,Кемеровская область - Кузбасс,особо тяжких,ранее судимыми (из совершивших преступление),11.407,11.075,11.281,12.153,13.357,12.037
1015,Красноярский край,особо тяжких,ранее судимыми (из совершивших преступление),18.524,14.364,14.671,15.205,13.467,12.886
1016,Новосибирская область,особо тяжких,ранее судимыми (из совершивших преступление),16.183,11.225,12.944,9.88,10.007,10.984
1017,Омская область,особо тяжких,ранее судимыми (из совершивших преступление),12.08,12.724,11.173,11.83,10.692,12.555
1018,Республика Алтай,особо тяжких,ранее судимыми (из совершивших преступление),6.507,15.207,15.133,6.397,7.721,12.672
1019,Республика Бурятия,особо тяжких,ранее судимыми (из совершивших преступление),16.594,14.531,15.845,9.763,12.78,14.714
1020,Республика Тыва,особо тяжких,ранее судимыми (из совершивших преступление),35.167,35.787,25.488,31.132,29.629,31.48
1021,Республика Хакасия,особо тяжких,ранее судимыми (из совершивших преступление),13.972,10.601,15.069,12.869,13.851,16.728
1022,Томская область,особо тяжких,ранее судимыми (из совершивших преступление),11.423,10.381,8.996,11.137,9.543,9.436
1023,Амурская область,особо тяжких,ранее судимыми (из совершивших преступление),20.852,13.72,14.779,17.272,12.911,12.918
1024,Еврейская автономная область,особо тяжких,ранее судимыми (из совершивших преступление),19.865,22.531,16.665,13.757,13.897,23.003
1025,Камчатский край,особо тяжких,ранее судимыми (из совершивших преступление),17.715,16.204,12.359,13.663,8.945,13.155
1026,Магаданская область,особо тяжких,ранее судимыми (из совершивших преступление),23.916,19.235,15.962,25.49,29.968,9.35
1027,Приморский край,особо тяжких,ранее судимыми (из совершивших преступление),16.278,12.896,12.336,11.405,11.657,12.035
1028,Республика Саха (Якутия),особо тяжких,ранее судимыми (из совершивших преступление),11.775,8.205,7.985,7.549,10.803,11.304
1029,Сахалинская область,особо тяжких,ранее судимыми (из совершивших преступление),18.059,12.517,15.096,13.684,13.108,12.149
1030,Хабаровский край,особо тяжких,ранее судимыми (из совершивших преступление),22.33,16.65,12.347,12.335,15.582,11.375
1031,Чукотский автономный округ,особо тяжких,ранее судимыми (из совершивших преступление),3.987,26.093,10.132,8.054,11.931,12.115
1032,Российская Федерация,тяжких,ранее судимыми (из совершивших преступление),44.787,41.781,38.109,37.176,36.116,37.475
1033,Белгородская область,тяжких,ранее судимыми (из совершивших преступление),21.546,16.292,19.098,20.809,23.626,24.72
1034,Брянская область,тяжких,ранее судимыми (из совершивших преступление),35.733,37.525,28.82,29.829,25.325,31.961
1035,Владимирская область,тяжких,ранее судимыми (из совершивших преступление),70.142,63.903,52.745,50.154,46.746,38.522
1036,Воронежская область,тяжких,ранее судимыми (из совершивших преступление),31.07,31.215,28.323,32.262,26.159,33.093
1037,Ивановская область,тяжких,ранее судимыми (из совершивших преступление),52.144,42.808,35.677,35.053,40.115,39.918
1038,Калужская область,тяжких,ранее судимыми (из совершивших преступление),46.941,46.325,37.642,32.198,43.987,49.252
1039,Костромская область,тяжких,ранее судимыми (из совершивших преступление),54.954,42.582,44.301,34.679,46.102,38.032
1040,Курская область,тяжких,ранее судимыми (из совершивших преступление),40.624,30.546,29.769,35.41,33.605,36.845
1041,город Москва,тяжких,ранее судимыми (из совершивших преступление),25.239,20.928,18.414,17.431,15.152,17.203
1042,Московская область,тяжких,ранее судимыми (из совершивших преступление),49.763,44.992,42.141,41.818,37.915,36.622
1043,Липецкая область,тяжких,ранее судимыми (из совершивших преступление),24.22,29.666,22.866,23.076,21.328,25.262
1044,Орловская область,тяжких,ранее судимыми (из совершивших преступление),20.534,22.787,18.869,26.1,24.131,23.044
1045,Рязанская область,тяжких,ранее судимыми (из совершивших преступление),47.96,40.027,32.725,33.748,35.352,28.682
1046,Смоленская область,тяжких,ранее судимыми (из совершивших преступление),49.446,36.404,38.447,39.475,42.037,43.425
1047,Тамбовская область,тяжких,ранее судимыми (из совершивших преступление),35.038,37.68,32.316,32.875,35.163,47.465
1048,Тверская область,тяжких,ранее судимыми (из совершивших преступление),45.756,44.957,37.075,32.529,38.56,33.959
1049,Тульская область,тяжких,ранее судимыми (из совершивших преступление),41.488,34.08,32.376,30.024,31.921,31.398
1050,Ярославская область,тяжких,ранее судимыми (из совершивших преступление),48.903,55.401,41.559,36.916,32.791,38.826
1051,Архангельская область (кроме Ненецкого автономного округа),тяжких,ранее судимыми (из совершивших преступление),61.58,68.193,45.723,53.895,58.402,50.339
1052,Ненецкий автономный округ (Архангельская область),тяжких,ранее судимыми (из совершивших преступление),29.655,34.14,65.914,54.758,36.272,31.539
1053,город Санкт-Петербург,тяжких,ранее судимыми (из совершивших преступление),28.341,26.905,27.822,22.883,20.896,23.475
1054,Ленинградская область,тяжких,ранее судимыми (из совершивших преступление),38.395,35.772,36.001,29.71,31.452,29.693
1055,Вологодская область,тяжких,ранее судимыми (из совершивших преступление),69.8,52.878,51.076,47.101,46.362,52.214
1056,Калининградская область,тяжких,ранее судимыми (из совершивших преступление),30.417,34.068,34.687,34.624,35.259,30.924
1057,Мурманская область,тяжких,ранее судимыми (из совершивших преступление),49.464,39.07,32.645,31.682,35.203,42.027
1058,Новгородская область,тяжких,ранее судимыми (из совершивших преступление),75.525,66.283,68.923,68.3,66.722,63.469
1059,Псковская область,тяжких,ранее судимыми (из совершивших преступление),63.121,47.496,53.57,46.375,48.074,39.823
1060,Республика Карелия,тяжких,ранее судимыми (из совершивших преступление),39.214,39.389,31.969,48.216,48.203,50.24
1061,Республика Коми,тяжких,ранее судимыми (из совершивших преступление),63.723,66.192,56.251,60.344,62.647,84.686
1062,Кабардино-Балкарская Республика,тяжких,ранее судимыми (из совершивших преступление),30.965,34.126,30.491,28.284,31.209,28.532
1063,Карачаево-Черкесская Республика,тяжких,ранее судимыми (из совершивших преступление),24.797,18.223,18.228,18.472,23.414,20.2
1064,Республика Дагестан,тяжких,ранее судимыми (из совершивших преступление),14.856,11.703,10.412,10.823,10.512,9.83
1065,Республика Ингушетия,тяжких,ранее судимыми (из совершивших преступление),7.192,4.787,5.532,5.026,6.114,4.849
1066,Республика Северная Осетия-Алания,тяжких,ранее судимыми (из совершивших преступление),23.02,38.677,39.044,45.906,34.872,33.184
1067,Ставропольский край,тяжких,ранее судимыми (из совершивших преступление),33.838,35.302,31.35,31.411,34.135,37.31
1068,Чеченская Республика,тяжких,ранее судимыми (из совершивших преступление),4.877,5.16,5.637,6.383,5.951,5.541
1069,Астраханская область,тяжких,ранее судимыми (из совершивших преступление),47.319,35.53,43.243,40.431,43.449,39.989
1070,Волгоградская область,тяжких,ранее судимыми (из совершивших преступление),40.496,36.289,27.684,33.22,35.487,35.319
1071,город Севастополь,тяжких,ранее судимыми (из совершивших преступление),57.656,55.976,25.42,31.136,25.159,22.942
1072,Ростовская область,тяжких,ранее судимыми (из совершивших преступление),42.021,38.357,38.503,37.218,31.516,33.864
1073,Краснодарский край,тяжких,ранее судимыми (из совершивших преступление),31.938,29.061,30.035,30.151,28.332,29.275
1074,Республика Адыгея (Адыгея),тяжких,ранее судимыми (из совершивших преступление),29.237,38.6,26.027,29.247,23.322,23.102
1075,Республика Калмыкия,тяжких,ранее судимыми (из совершивших преступление),30.136,30.597,27.595,30.442,30.243,38.521
1076,Республика Крым,тяжких,ранее судимыми (из совершивших преступление),38.225,36.294,29.105,30.442,28.861,30.238
1077,Кировская область,тяжких,ранее судимыми (из совершивших преступление),54.722,48.774,42.86,49.21,47.528,48.953
1078,Нижегородская область,тяжких,ранее судимыми (из совершивших преступление),42.174,38.088,35.057,36.023,36.872,33.495
1079,Оренбургская область,тяжких,ранее судимыми (из совершивших преступление),39.854,43.175,35.9,37.952,43.795,41.433
1080,Пензенская область,тяжких,ранее судимыми (из совершивших преступление),31.141,24.822,25.757,26.25,28.57,32.071
1081,Пермский край,тяжких,ранее судимыми (из совершивших преступление),59.634,53.0,51.275,51.938,50.899,48.541
1082,Республика Татарстан (Татарстан),тяжких,ранее судимыми (из совершивших преступление),35.877,33.975,27.964,26.779,28.774,34.77
1083,Республика Башкортостан,тяжких,ранее судимыми (из совершивших преступление),40.972,39.931,33.741,32.066,31.722,38.816
1084,Республика Марий Эл,тяжких,ранее судимыми (из совершивших преступление),24.203,41.625,24.915,29.542,23.402,35.686
1085,Республика Мордовия,тяжких,ранее судимыми (из совершивших преступление),32.076,28.941,26.085,22.753,32.397,24.905
1086,Самарская область,тяжких,ранее судимыми (из совершивших преступление),50.094,48.132,36.136,34.967,33.621,34.367
1087,Саратовская область,тяжких,ранее судимыми (из совершивших преступление),35.979,35.293,37.881,32.53,38.647,37.535
1088,Удмуртская Республика,тяжких,ранее судимыми (из совершивших преступление),59.453,48.918,46.132,47.897,45.504,64.687
1089,Ульяновская область,тяжких,ранее судимыми (из совершивших преступление),46.039,43.899,36.579,37.952,34.233,29.467
1090,Чувашская Республика - Чувашия,тяжких,ранее судимыми (из совершивших преступление),33.64,32.285,26.399,26.075,25.62,35.103
1091,Курганская область,тяжких,ранее судимыми (из совершивших преступление),56.735,65.214,60.317,63.496,61.415,45.323
1092,Свердловская область,тяжких,ранее судимыми (из совершивших преступление),60.901,58.854,50.402,48.474,41.826,42.19
1093,Тюменская область (без автономных округов),тяжких,ранее судимыми (из совершивших преступление),51.903,48.379,46.838,37.466,38.701,37.774
1094,Ханты-Мансийский автономный округ - Югра (Тюменская область),тяжких,ранее судимыми (из совершивших преступление),31.597,30.132,27.491,20.856,27.289,30.16
1095,Ямало-Ненецкий автономный округ (Тюменская область),тяжких,ранее судимыми (из совершивших преступление),25.089,25.184,32.123,37.305,32.694,37.476
1096,Челябинская область,тяжких,ранее судимыми (из совершивших преступление),54.103,48.282,47.953,40.596,43.504,42.494
1097,Алтайский край,тяжких,ранее судимыми (из совершивших преступление),52.508,47.724,48.849,52.083,45.314,48.033
1098,Забайкальский край,тяжких,ранее судимыми (из совершивших преступление),106.001,104.914,98.247,97.299,83.609,86.38
1099,Иркутская область,тяжких,ранее судимыми (из совершивших преступление),54.708,56.042,52.325,55.802,57.294,53.052
1100,Кемеровская область - Кузбасс,тяжких,ранее судимыми (из совершивших преступление),72.122,66.006,62.378,59.493,58.092,53.694
1101,Красноярский край,тяжких,ранее судимыми (из совершивших преступление),62.795,60.863,52.355,50.139,51.775,53.994
1102,Новосибирская область,тяжких,ранее судимыми (из совершивших преступление),57.49,53.822,52.71,46.145,39.955,44.583
1103,Омская область,тяжких,ранее судимыми (из совершивших преступление),61.462,57.384,56.477,49.995,47.024,43.652
1104,Республика Алтай,тяжких,ранее судимыми (из совершивших преступление),58.561,52.072,57.323,60.311,69.034,69.698
1105,Республика Бурятия,тяжких,ранее судимыми (из совершивших преступление),83.988,77.327,81.462,80.344,70.897,74.282
1106,Республика Тыва,тяжких,ранее судимыми (из совершивших преступление),79.839,97.63,81.126,73.361,68.421,97.164
1107,Республика Хакасия,тяжких,ранее судимыми (из совершивших преступление),62.782,63.05,57.673,44.762,58.773,55.447
1108,Томская область,тяжких,ранее судимыми (из совершивших преступление),53.958,48.476,48.503,45.2,43.826,43.631
1109,Амурская область,тяжких,ранее судимыми (из совершивших преступление),77.449,89.554,84.166,79.804,75.565,80.962
1110,Еврейская автономная область,тяжких,ранее судимыми (из совершивших преступление),100.53,84.035,64.809,45.65,75.803,77.955
1111,Камчатский край,тяжких,ранее судимыми (из совершивших преступление),49.982,47.978,52.922,41.942,43.129,50.695
1112,Магаданская область,тяжких,ранее судимыми (из совершивших преступление),67.648,53.582,54.826,67.264,65.644,74.802
1113,Приморский край,тяжких,ранее судимыми (из совершивших преступление),67.081,55.587,51.332,50.296,51.006,56.022
1114,Республика Саха (Якутия),тяжких,ранее судимыми (из совершивших преступление),38.763,40.402,34.013,51.913,41.152,52.14
1115,Сахалинская область,тяжких,ранее судимыми (из совершивших преступление),49.867,46.169,37.537,45.135,48.335,60.129
1116,Хабаровский край,тяжких,ранее судимыми (из совершивших преступление),59.121,48.751,47.805,50.02,36.332,42.732
1117,Чукотский автономный округ,тяжких,ранее судимыми (из совершивших преступление),39.875,26.093,48.634,42.285,57.668,42.401
1118,Российская Федерация,средней тяжести,ранее судимыми (из совершивших преступление),73.793,71.642,67.008,62.392,60.777,57.606
1119,Белгородская область,средней тяжести,ранее судимыми (из совершивших преступление),37.352,44.434,43.745,46.723,46.735,35.685
1120,Брянская область,средней тяжести,ранее судимыми (из совершивших преступление),72.446,63.251,58.465,53.492,51.992,52.339
1121,Владимирская область,средней тяжести,ранее судимыми (из совершивших преступление),81.164,87.507,90.181,61.429,69.198,55.957
1122,Воронежская область,средней тяжести,ранее судимыми (из совершивших преступление),49.283,51.725,49.148,50.047,51.631,60.938
1123,Ивановская область,средней тяжести,ранее судимыми (из совершивших преступление),42.919,48.184,41.394,43.319,39.914,35.966
1124,Калужская область,средней тяжести,ранее судимыми (из совершивших преступление),60.707,69.389,73.506,57.461,59.946,71.53
1125,Костромская область,средней тяжести,ранее судимыми (из совершивших преступление),66.928,76.679,69.172,55.864,54.943,48.693
1126,Курская область,средней тяжести,ранее судимыми (из совершивших преступление),79.552,71.423,67.788,70.006,69.021,69.403
1127,город Москва,средней тяжести,ранее судимыми (из совершивших преступление),26.407,21.162,19.078,19.231,18.197,18.625
1128,Московская область,средней тяжести,ранее судимыми (из совершивших преступление),57.442,55.931,54.136,55.529,56.171,57.534
1129,Липецкая область,средней тяжести,ранее судимыми (из совершивших преступление),41.865,43.244,45.123,51.747,38.881,49.548
1130,Орловская область,средней тяжести,ранее судимыми (из совершивших преступление),49.623,52.066,48.712,44.086,42.263,32.704
1131,Рязанская область,средней тяжести,ранее судимыми (из совершивших преступление),48.491,47.305,53.234,54.212,51.585,52.629
1132,Смоленская область,средней тяжести,ранее судимыми (из совершивших преступление),65.406,67.142,66.572,68.02,74.875,67.852
1133,Тамбовская область,средней тяжести,ранее судимыми (из совершивших преступление),55.603,54.021,55.343,58.27,74.299,72.605
1134,Тверская область,средней тяжести,ранее судимыми (из совершивших преступление),59.015,56.524,49.927,51.747,60.458,48.329
1135,Тульская область,средней тяжести,ранее судимыми (из совершивших преступление),41.09,40.016,49.603,43.278,42.766,42.44
1136,Ярославская область,средней тяжести,ранее судимыми (из совершивших преступление),76.813,70.196,70.16,59.78,56.966,56.145
1137,Архангельская область (кроме Ненецкого автономного округа),средней тяжести,ранее судимыми (из совершивших преступление),81.93,82.367,80.556,78.07,79.456,62.993
1138,Ненецкий автономный округ (Архангельская область),средней тяжести,ранее судимыми (из совершивших преступление),61.59,77.384,118.19,118.643,79.345,60.826
1139,город Санкт-Петербург,средней тяжести,ранее судимыми (из совершивших преступление),44.76,43.51,41.966,37.055,33.957,28.787
1140,Ленинградская область,средней тяжести,ранее судимыми (из совершивших преступление),64.648,49.556,48.241,45.35,41.101,35.557
1141,Вологодская область,средней тяжести,ранее судимыми (из совершивших преступление),113.582,98.153,83.624,79.043,67.819,57.6
1142,Калининградская область,средней тяжести,ранее судимыми (из совершивших преступление),75.171,85.069,77.619,65.457,71.9,67.248
1143,Мурманская область,средней тяжести,ранее судимыми (из совершивших преступление),47.233,50.949,50.826,46.253,44.645,45.711
1144,Новгородская область,средней тяжести,ранее судимыми (из совершивших преступление),122.951,125.71,124.49,100.95,94.047,81.024
1145,Псковская область,средней тяжести,ранее судимыми (из совершивших преступление),59.872,56.372,56.869,60.827,62.768,54.333
1146,Республика Карелия,средней тяжести,ранее судимыми (из совершивших преступление),89.7,83.083,96.067,101.933,98.035,108.526
1147,Республика Коми,средней тяжести,ранее судимыми (из совершивших преступление),136.9,151.431,120.351,120.086,122.003,101.402
1148,Кабардино-Балкарская Республика,средней тяжести,ранее судимыми (из совершивших преступление),49.869,58.534,48.855,49.526,53.204,55.799
1149,Карачаево-Черкесская Республика,средней тяжести,ранее судимыми (из совершивших преступление),46.174,42.236,39.245,52.195,56.71,56.086
1150,Республика Дагестан,средней тяжести,ранее судимыми (из совершивших преступление),27.689,23.604,23.859,20.997,19.127,19.979
1151,Республика Ингушетия,средней тяжести,ранее судимыми (из совершивших преступление),11.845,14.985,11.269,9.65,11.438,10.862
1152,Республика Северная Осетия-Алания,средней тяжести,ранее судимыми (из совершивших преступление),48.739,66.831,64.409,68.073,60.703,61.463
1153,Ставропольский край,средней тяжести,ранее судимыми (из совершивших преступление),65.677,61.047,59.129,61.784,64.132,60.978
1154,Чеченская Республика,средней тяжести,ранее судимыми (из совершивших преступление),8.32,6.361,8.142,7.413,7.101,4.005
1155,Астраханская область,средней тяжести,ранее судимыми (из совершивших преступление),88.649,72.237,76.854,69.226,67.41,67.149
1156,Волгоградская область,средней тяжести,ранее судимыми (из совершивших преступление),88.415,83.78,72.344,73.38,76.273,66.638
1157,город Севастополь,средней тяжести,ранее судимыми (из совершивших преступление),148.704,82.798,64.58,37.003,39.631,48.04
1158,Ростовская область,средней тяжести,ранее судимыми (из совершивших преступление),85.741,88.648,94.184,85.001,81.661,74.088
1159,Краснодарский край,средней тяжести,ранее судимыми (из совершивших преступление),60.503,56.92,53.235,50.529,54.603,54.715
1160,Республика Адыгея (Адыгея),средней тяжести,ранее судимыми (из совершивших преступление),45.628,56.025,48.745,51.677,40.597,48.363
1161,Республика Калмыкия,средней тяжести,ранее судимыми (из совершивших преступление),30.854,33.477,36.672,35.21,36.144,47.41
1162,Республика Крым,средней тяжести,ранее судимыми (из совершивших преступление),88.144,82.524,64.481,68.887,69.59,59.004
1163,Кировская область,средней тяжести,ранее судимыми (из совершивших преступление),96.881,102.27,91.254,84.27,74.937,76.949
1164,Нижегородская область,средней тяжести,ранее судимыми (из совершивших преступление),58.646,61.828,61.859,61.189,57.26,57.515
1165,Оренбургская область,средней тяжести,ранее судимыми (из совершивших преступление),83.017,87.908,84.188,73.255,77.37,71.902
1166,Пензенская область,средней тяжести,ранее судимыми (из совершивших преступление),37.369,36.153,39.35,39.147,42.74,33.775
1167,Пермский край,средней тяжести,ранее судимыми (из совершивших преступление),92.734,85.483,76.245,72.583,60.825,53.232
1168,Республика Татарстан (Татарстан),средней тяжести,ранее судимыми (из совершивших преступление),60.511,60.923,54.156,54.404,58.213,45.71
1169,Республика Башкортостан,средней тяжести,ранее судимыми (из совершивших преступление),73.912,73.642,71.641,65.218,61.687,60.94
1170,Республика Марий Эл,средней тяжести,ранее судимыми (из совершивших преступление),56.133,55.208,66.83,53.206,42.095,48.124
1171,Республика Мордовия,средней тяжести,ранее судимыми (из совершивших преступление),50.901,55.903,55.4,51.54,54.923,42.621
1172,Самарская область,средней тяжести,ранее судимыми (из совершивших преступление),84.093,75.882,63.378,57.649,61.864,66.801
1173,Саратовская область,средней тяжести,ранее судимыми (из совершивших преступление),45.185,48.684,55.381,50.967,52.686,54.486
1174,Удмуртская Республика,средней тяжести,ранее судимыми (из совершивших преступление),73.954,78.387,71.511,69.989,73.82,64.954
1175,Ульяновская область,средней тяжести,ранее судимыми (из совершивших преступление),39.996,45.176,41.472,36.417,37.241,28.318
1176,Чувашская Республика - Чувашия,средней тяжести,ранее судимыми (из совершивших преступление),54.422,53.728,45.975,42.096,34.57,34.606
1177,Курганская область,средней тяжести,ранее судимыми (из совершивших преступление),110.686,99.168,100.528,78.711,64.8,61.326
1178,Свердловская область,средней тяжести,ранее судимыми (из совершивших преступление),88.36,88.766,81.036,68.494,64.63,61.538
1179,Тюменская область (без автономных округов),средней тяжести,ранее судимыми (из совершивших преступление),78.164,75.106,73.593,64.858,60.491,53.519
1180,Ханты-Мансийский автономный округ - Югра (Тюменская область),средней тяжести,ранее судимыми (из совершивших преступление),58.706,60.386,56.01,46.4,48.188,38.693
1181,Ямало-Ненецкий автономный округ (Тюменская область),средней тяжести,ранее судимыми (из совершивших преступление),58.79,60.256,56.634,43.584,48.122,35.1
1182,Челябинская область,средней тяжести,ранее судимыми (из совершивших преступление),97.037,98.706,89.406,87.204,90.931,82.52
1183,Алтайский край,средней тяжести,ранее судимыми (из совершивших преступление),104.007,105.931,97.316,84.919,78.933,72.114
1184,Забайкальский край,средней тяжести,ранее судимыми (из совершивших преступление),154.754,155.98,135.253,141.21,125.602,111.819
1185,Иркутская область,средней тяжести,ранее судимыми (из совершивших преступление),122.803,121.674,107.77,106.474,98.445,92.462
1186,Кемеровская область - Кузбасс,средней тяжести,ранее судимыми (из совершивших преступление),149.395,136.663,120.339,106.347,106.025,98.426
1187,Красноярский край,средней тяжести,ранее судимыми (из совершивших преступление),131.38,118.005,101.651,99.756,87.571,101.544
1188,Новосибирская область,средней тяжести,ранее судимыми (из совершивших преступление),108.897,101.995,103.161,92.361,79.659,70.571
1189,Омская область,средней тяжести,ранее судимыми (из совершивших преступление),87.29,80.652,77.905,61.208,57.405,51.952
1190,Республика Алтай,средней тяжести,ранее судимыми (из совершивших преступление),128.276,141.47,132.989,116.51,149.877,114.051
1191,Республика Бурятия,средней тяжести,ранее судимыми (из совершивших преступление),115.038,103.136,101.37,101.905,87.227,87.069
1192,Республика Тыва,средней тяжести,ранее судимыми (из совершивших преступление),88.709,70.319,82.68,92.164,81.556,78.7
1193,Республика Хакасия,средней тяжести,ранее судимыми (из совершивших преступление),146.615,159.02,167.066,130.929,121.85,116.346
1194,Томская область,средней тяжести,ранее судимыми (из совершивших преступление),102.158,118.64,97.563,86.408,83.112,74.649
1195,Амурская область,средней тяжести,ранее судимыми (из совершивших преступление),140.625,143.436,131.885,96.95,100.501,88.253
1196,Еврейская автономная область,средней тяжести,ранее судимыми (из совершивших преступление),125.211,114.483,97.522,80.669,81.488,81.15
1197,Камчатский край,средней тяжести,ранее судимыми (из совершивших преступление),86.677,85.153,80.493,72.445,52.393,57.754
1198,Магаданская область,средней тяжести,ранее судимыми (из совершивших преступление),117.53,121.591,108.265,100.542,125.581,88.468
1199,Приморский край,средней тяжести,ранее судимыми (из совершивших преступление),129.237,118.506,102.298,90.607,89.247,83.394
1200,Республика Саха (Якутия),средней тяжести,ранее судимыми (из совершивших преступление),70.439,81.53,67.819,63.495,68.416,72.609
1201,Сахалинская область,средней тяжести,ранее судимыми (из совершивших преступление),125.387,113.883,109.755,93.13,106.092,111.198
1202,Хабаровский край,средней тяжести,ранее судимыми (из совершивших преступление),153.085,134.554,116.088,108.969,104.892,90.153
1203,Чукотский автономный округ,средней тяжести,ранее судимыми (из совершивших преступление),71.775,76.272,56.74,58.394,61.645,98.936
1204,Российская Федерация,небольшой тяжести,ранее судимыми (из совершивших преступление),115.564,117.18,122.621,124.952,128.376,132.015
1205,Белгородская область,небольшой тяжести,ранее судимыми (из совершивших преступление),84.057,87.644,95.04,104.626,105.219,123.276
1206,Брянская область,небольшой тяжести,ранее судимыми (из совершивших преступление),103.774,111.017,120.398,149.227,163.607,193.459
1207,Владимирская область,небольшой тяжести,ранее судимыми (из совершивших преступление),104.64,106.29,118.621,113.486,124.262,122.867
1208,Воронежская область,небольшой тяжести,ранее судимыми (из совершивших преступление),77.695,90.991,102.881,107.397,102.573,115.371
1209,Ивановская область,небольшой тяжести,ранее судимыми (из совершивших преступление),105.745,101.352,129.996,133.542,137.995,151.566
1210,Калужская область,небольшой тяжести,ранее судимыми (из совершивших преступление),119.532,152.478,131.995,137.015,129.467,134.468
1211,Костромская область,небольшой тяжести,ранее судимыми (из совершивших преступление),145.368,154.129,149.847,157.705,158.671,154.832
1212,Курская область,небольшой тяжести,ранее судимыми (из совершивших преступление),130.623,137.591,153.6,170.274,165.579,173.281
1213,город Москва,небольшой тяжести,ранее судимыми (из совершивших преступление),44.614,33.358,35.773,34.339,33.893,34.903
1214,Московская область,небольшой тяжести,ранее судимыми (из совершивших преступление),87.516,79.693,83.402,90.728,90.887,99.617
1215,Липецкая область,небольшой тяжести,ранее судимыми (из совершивших преступление),91.515,110.619,114.502,116.692,113.747,137.122
1216,Орловская область,небольшой тяжести,ранее судимыми (из совершивших преступление),78.845,80.02,105.721,122.115,103.204,92.868
1217,Рязанская область,небольшой тяжести,ранее судимыми (из совершивших преступление),61.322,61.86,65.45,72.971,72.688,78.943
1218,Смоленская область,небольшой тяжести,ранее судимыми (из совершивших преступление),124.344,102.497,115.132,118.638,133.813,136.572
1219,Тамбовская область,небольшой тяжести,ранее судимыми (из совершивших преступление),121.585,123.423,129.65,150.3,198.659,235.313
1220,Тверская область,небольшой тяжести,ранее судимыми (из совершивших преступление),86.607,92.613,105.696,118.774,123.693,125.56
1221,Тульская область,небольшой тяжести,ранее судимыми (из совершивших преступление),77.799,83.633,95.653,98.727,107.835,111.033
1222,Ярославская область,небольшой тяжести,ранее судимыми (из совершивших преступление),91.673,96.401,95.047,104.635,110.421,125.34
1223,Архангельская область (кроме Ненецкого автономного округа),небольшой тяжести,ранее судимыми (из совершивших преступление),155.542,140.398,159.041,187.587,172.094,178.08
1224,Ненецкий автономный округ (Архангельская область),небольшой тяжести,ранее судимыми (из совершивших преступление),203.02,175.251,211.378,244.131,165.492,139.674
1225,город Санкт-Петербург,небольшой тяжести,ранее судимыми (из совершивших преступление),51.821,50.629,52.729,55.778,50.333,51.631
1226,Ленинградская область,небольшой тяжести,ранее судимыми (из совершивших преступление),55.26,53.741,67.096,58.013,55.334,51.883
1227,Вологодская область,небольшой тяжести,ранее судимыми (из совершивших преступление),192.559,195.885,195.464,187.204,182.775,186.005
1228,Калининградская область,небольшой тяжести,ранее судимыми (из совершивших преступление),99.136,106.767,99.538,110.658,128.492,112.603
1229,Мурманская область,небольшой тяжести,ранее судимыми (из совершивших преступление),182.242,173.306,169.463,197.044,194.766,206.041
1230,Новгородская область,небольшой тяжести,ранее судимыми (из совершивших преступление),164.855,153.301,158.786,143.429,166.972,170.826
1231,Псковская область,небольшой тяжести,ранее судимыми (из совершивших преступление),108.761,116.793,130.705,149.448,167.222,170.415
1232,Республика Карелия,небольшой тяжести,ранее судимыми (из совершивших преступление),163.525,146.233,159.843,181.537,215.124,239.217
1233,Республика Коми,небольшой тяжести,ранее судимыми (из совершивших преступление),246.256,247.251,274.596,278.475,294.464,263.4
1234,Кабардино-Балкарская Республика,небольшой тяжести,ранее судимыми (из совершивших преступление),63.322,65.706,70.106,65.226,73.358,80.995
1235,Карачаево-Черкесская Республика,небольшой тяжести,ранее судимыми (из совершивших преступление),81.659,97.763,118.163,103.316,127.167,111.742
1236,Республика Дагестан,небольшой тяжести,ранее судимыми (из совершивших преступление),34.918,27.549,28.624,36.389,34.878,35.554
1237,Республика Ингушетия,небольшой тяжести,ранее судимыми (из совершивших преступление),24.747,16.234,18.851,22.316,20.905,27.349
1238,Республика Северная Осетия-Алания,небольшой тяжести,ранее судимыми (из совершивших преступление),86.963,115.889,131.811,150.303,188.566,165.777
1239,Ставропольский край,небольшой тяжести,ранее судимыми (из совершивших преступление),110.508,108.58,105.51,112.942,130.405,122.458
1240,Чеченская Республика,небольшой тяжести,ранее судимыми (из совершивших преступление),10.759,13.924,12.317,14.963,13.187,13.151
